study_id,table_id,column_id,of_variable,is_type,with_entry,information_from,has_status,note
ISCN3,layer,p_method,phosphorus_mehlich,method,--,metadata,alpha,
ISCN3,layer,p_meh (specified by p_units),phosphorus_mehlich,method,Mehlich extraction (unknown specifics),,,
ISCN3,layer,p_other (specified by p_units),phosphorus_other,description,Extractable [P] (Other),metadata,alpha,
ISCN3,layer,p_other (specified by p_units),phosphorus_other,value,--,metadata,alpha,
ISCN3,layer,p_units (extract_units),phosphorus_other,unit,--,metadata,alpha,
ISCN3,layer,p_other (specified by p_units),phosphorus_other,method,--,metadata,alpha,
ISCN3,layer,p_method,phosphorus_other,method,"Other extraction (unlikely to be Brey, Oxalate, nor Mehlich)",metadata,alpha,
ISCN3,layer,root_quant_size,root_size,description,"Root size quantity. Using USDA NRCS conventions from USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p.2-56), average quantity from 3 to 5 representative unit areas. Size classes of roots being considered: very fine, < 1mm; fine, 1 – 2mm diameter",metadata,alpha,"Come back to this, unclear if it ties directly into root weight nor not."
ISCN3,layer,root_quant_size,root_size,value,--,metadata,alpha,"Come back to this, unclear if it ties directly into root weight nor not."
ISCN3,layer,root_quant_size,root_size,method,"Using USDA NRCS conventions from USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p.2-56), average quantity from 3 to 5 representative unit areas. Size classes of roots being considered: very fine, < 1mm; fine, 1 – 2mm diameter",metadata,alpha,"Come back to this, unclear if it ties directly into root weight nor not."
ISCN3,layer,root_weight (g),root_weight,description,Dry weight of roots ≤2 mm in diameter in the sample,metadata,alpha,
ISCN3,layer,root_weight (g),root_weight,method,Dry weight of roots ≤2 mm in diameter in the sample,metadata,alpha,
ISCN3,layer,root_weight (g),root_weight,unit,gram,metadata,alpha,
ISCN3,layer,root_weight (g),root_weight,value,--,metadata,alpha,
ISCN3,layer,15n (‰),nitrogen_15,description,Per mille signature of δ15N relative to air (international standard),metadata,alpha,
ISCN3,layer,15n (‰),nitrogen_15,value,--,metadata,alpha,
ISCN3,layer,15n (‰),nitrogen_15,method,Per mille signature of δ15N relative to air (international standard),metadata,alpha,
ISCN3,layer,15n (‰),nitrogen_15,unit,mole per 1000 mole,metadata,alpha,Check if units are molar or mass
ISCN3,layer,13c (‰),carbon_13,description,Per mille signature of δ13C relative to Pee Dee Belemnite,metadata,alpha,
ISCN3,layer,13c (‰),carbon_13,value,--,metadata,alpha,
ISCN3,layer,13c (‰),carbon_13,method,Per mille signature of δ13C relative to Pee Dee Belemnite,metadata,alpha,
ISCN3,layer,13c (‰),carbon_13,unit,mole per 1000 mole,metadata,alpha,
ISCN3,layer,14c (‰),carbon_14,description,Per mille signature of Δ14C relative to NBS Oxalic Acid standard.,metadata,alpha,
ISCN3,layer,14c (‰),carbon_14,value,--,metadata,alpha,
ISCN3,layer,14c (‰),carbon_14,method,Per mille signature of Δ14C relative to NBS Oxalic Acid standard.,metadata,alpha,
ISCN3,layer,14c (‰),carbon_14,unit,mole per 1000 mole,metadata,alpha,
ISCN3,layer,14c_sigma (‰),carbon_14,description,Error estimate for the fraction,metadata,alpha,
ISCN3,layer,14c_sigma (‰),carbon_14,standard_deviation,--,metadata,alpha,check that this is a standard deviation or something else with Kate Heckman
ISCN3,layer,14c_age (BP),carbon_14_age,description,"Uncalibrated radiocarbon age of bulk soil in layer, as calculated from corrected fraction modern, using the Libby half-life value of 5568 years",metadata,alpha,what be neat to tie it to a calculation model and link to carbon_14
ISCN3,layer,14c_age (BP),carbon_14_age,value,--,metadata,alpha,
ISCN3,layer,14c_age (BP),carbon_14_age,method,"Uncalibrated radiocarbon age of bulk soil in layer, as calculated from corrected fraction modern, using the Libby half-life value of 5568 years",metadata,alpha,
ISCN3,layer,14c_age_sigma (BP),carbon_14_age,description,Error estimate for the fraction,metadata,alpha,
ISCN3,layer,14c_age_sigma (BP),carbon_14_age,standard_deviation,--,metadata,alpha,check that this is a standard deviation or something else with Kate Heckman
ISCN3,layer,fraction_modern,carbon_13_fraction_modern,description,"Deviation of the bulk sample or fraction from modern. Modern is defined as 95% of the radiocarbon concentration (in AD 1950) of NBS Oxalic Acid standard, 13C-corrected",metadata,alpha,
ISCN3,layer,fraction_modern,carbon_13_fraction_modern,method,"Deviation of the bulk sample or fraction from modern. Modern is defined as 95% of the radiocarbon concentration (in AD 1950) of NBS Oxalic Acid standard, 13C-corrected",metadata,alpha,
ISCN3,layer,fraction_modern,carbon_13_fraction_modern,value,--,metadata,alpha,
ISCN3,layer,fraction_modern_sigma,carbon_13_fraction_modern,description,Error estimate for an individual layer,metadata,alpha,
ISCN3,layer,fraction_modern_sigma,carbon_13_fraction_modern,standard_deviation,--,metadata,alpha,
ISCN3,layer,textureClass,texture_class,description,"Soil texture classification. If no information is provided, automatically generated from %sand, %silt, %clay data (coarse = ≥50% sand; fine = <50% sand)",metadata,alpha,revisit and add control vocabulary
ISCN3,layer,textureClass,texture_class,value,--,metadata,alpha,
ISCN3,layer,textureClass,texture_class,control_vocabulary,TBD,metadata,alpha,
ISCN3,layer,locator_parent_alias,--,description,Contributor data set identifier primarily for USDA-NRCS-NCSS. Decrepid ,metadata,alpha,
ISCN3,layer,locator_parent_alias,--,value,--,metadata,alpha,
ISCN3,profile,--,download_url,value,https://portal.edirepository.org/nis/dataviewer?packageid=edi.1160.1&entityid=40527580cc045d33d9a5aaf728bf204e,metadata,alpha,
ISCN3,profile,ISCN 1-1 (2015-12-10),--,description,Version of the processed dataset,metadata,alpha,
ISCN3,profile,ISCN 1-1 (2015-12-10),--,empty,--,metadata,alpha,
ISCN3,profile,dataset_name_sub,data_source,description,"dataset name assocated with data submitter, links to dataset_name in other tables; identify colume",metadata,alpha,
ISCN3,profile,dataset_name_sub,data_source,identifier,--,metadata,alpha,
ISCN3,profile,dataset_name_soc,soil_organic_carbon,description,dataset name associated with the calculated soil orgnaic carbon value in this row,metadata,alpha,
ISCN3,profile,dataset_name_soc,soil_organic_carbon,identifier,--,metadata,alpha,
ISCN3,profile,dataset_name_soc,soil_organic_carbon,method,identify the source of the soil organic carbon estimation,metadata,alpha,
ISCN3,profile,lat (dec. deg),latitude,description,"latitude details of the location in the data contribution; ranging from (-90, 90)",metadata,alpha,
ISCN3,profile,lat (dec. deg),latitude,unit,decimal degree,metadata,alpha,
ISCN3,profile,lat (dec. deg),latitude,value,--,metadata,alpha,
ISCN3,profile,long (dec. deg),longitude,description,"longitude details of the location in the data contribution; ranging (-180, 180)",metadata,alpha,
ISCN4,profile,long (dec. deg),longitude,unit,decimal degree,metadata,alpha,
ISCN3,profile,long (dec. deg),longitude,value,--,metadata,alpha,
ISCN3,profile,datum (datum),latitude,description,A standard model of the earth that is used in horizontal mapping,metadata,alpha,
ISCN3,profile,datum (datum),latitude,control_vocabulary,horizontal_datum,metadata,alpha,
ISCN3,profile,datum (datum),latitude,method,--,metadata,alpha,
ISCN3,profile,datum (datum),longitude,description,A standard model of the earth that is used in horizontal mapping,metadata,alpha,
ISCN3,profile,datum (datum),longitude,control_vocabulary,horizontal_datum,metadata,alpha,
ISCN3,profile,datum (datum),longitude,method,--,metadata,alpha,
ISCN3,profile,state (state_province),state,description,name of the adminstrative unit one level below country organization,metadata,alpha,
ISCN3,profile,state (state_province),state,value,--,metadata,alpha,
ISCN3,profile,country (country),country,description,name of the country or nation state,metadata,alpha,
ISCN3,profile,country (country),country,value,--,metadata,alpha,
ISCN3,profile,site_name,site,description,site name; identifier column,metadata,alpha,
ISCN3,profile,site_name,site,identifier,--,metadata,alpha,
ISCN3,profile,profile_name,profile,description,Profile/Plot Name; identifier column,metadata,alpha,
ISCN3,profile,profile_name,profile,identifier,--,metadata,alpha,
ISCN3,profile,observation_date (YYYY-MM-DD),layer_observation_time,description,Observation date,metadata,alpha,
ISCN3,profile,observation_date (YYYY-MM-DD),layer_observation_time,unit,Exported Excel date object; days since 1899-12-31,metadata,alpha,
ISCN3,profile,observation_date (YYYY-MM-DD),layer_observation_time,value,--,metadata,alpha,
ISCN3,profile,layer_top (cm),upper_depth_bound,description,The top (upper) depth of the layer,metadata,pre-alpha,
ISCN3,profile,layer_top (cm),upper_depth_bound,unit,cm,,,
ISCN3,profile,layer_top (cm),upper_depth_bound,value,--,,pre-alpha,
ISCN3,profile,layer_bot (cm),lower_depth_bound,description,The bottom (lower) depth of the layer,metadata,pre-alpha,
ISCN3,profile,layer_bot (cm),lower_depth_bound,unit,cm,,,
ISCN3,profile,layer_bot (cm),lower_depth_bound,value,--,,pre-alpha,
ISCN3,profile,vegclass_local,vegitation_class,description,"The type of vegetation at the site, described according to the classification scheme commonly used at the site",metadata,pre-alpha,
ISCN3,profile,vegclass_local,vegitation_class,value,--,,pre-alpha,
ISCN3,profile,soil_taxon,soil_classification,description,The taxonomic classification of the soil profile following NRCS convention,metadata,pre-alpha,
ISCN3,profile,soil_taxon,soil_classification,value,--,,pre-alpha,
ISCN3,profile,soil_series,soil_series,description,The NRCS soil series of the profile,metadata,pre-alpha,
ISCN3,profile,soil_series,soil_series,value,--,,pre-alpha,
ISCN3,profile,soc (g cm-2),soil_organic_carbon_by_area,description,Calculated soil organic carbon stock standard deviation,metadata,pre-alpha,
ISCN3,profile,soc (g cm-2),soil_organic_carbon_by_area,value,--,,pre-alpha,
ISCN3,profile,soc_carbon_flag,soil_organic_carbon_flag,description,"SOC method calculation by ISCN. If absent, SOC values provided by data submission",metadata,pre-alpha,
ISCN3,profile,soc_carbon_flag,soil_organic_carbon_flag,value,--,,pre-alpha,
ISCN3,profile,soc_method,soil_organic_carbon_method,description,"Method used to calculate (including any gap-filling) site, cluster, profile or layer soil organic carbon stocks",metadata,pre-alpha,
ISCN3,profile,soc_method,soil_organic_carbon_method,value,--,,pre-alpha,
ISCN3,profile,locator_parent_alias,locator_parent_alias,description,Contributor data set identifier,metadata,pre-alpha,
ISCN3,profile,locator_parent_alias,locator_parent_alias,value,--,,pre-alpha,
ISCN3,profile,profile_zero_ref (profile_zero_ref),profile_zero,description,"Where is zero in the soil profile (top, bottom, or mineral-organic interface generally)",metadata,pre-alpha,
ISCN3,profile,profile_zero_ref (profile_zero_ref),profile_zero,value,--,,pre-alpha,
ISCN3,profile,total_lcount,layer_count,description,Total layer count,metadata,pre-alpha,
ISCN3,profile,total_lcount,layer_count,value,--,,pre-alpha,
ISCN3,profile,carbon_lcount,carbon_layer_count,description,Total layer count for the SOC calculation,metadata,pre-alpha,
ISCN3,profile,carbon_lcount,carbon_layer_count,value,--,,pre-alpha,
ISCN3,profile,soc_lcount,soc_layer_count,description,The number of layer soil organic carbon stock values summed to produce the profile total soil organic carbon stock,metadata,pre-alpha,
ISCN3,profile,soc_lcount,soc_layer_count,value,--,,pre-alpha,
ISCN3,profile,soc_depth (cm),soc_depth,description,"The depth to which profiles were sampled to quantify the mean site, cluster, or profile calculated soil organic carbon stocks",metadata,pre-alpha,
ISCN3,profile,soc_depth (cm),soc_depth,value,--,,pre-alpha,
ISCN3,profile,soc_spatial_flag,soc_spatial_flag,description,Spatial flag,metadata,pre-alpha,
ISCN3,profile,soc_spatial_flag,soc_spatial_flag,value,--,,pre-alpha,
ISCN3,profile,elevation (m),elevation,description,"The elevation at the site as determined by topo map, GPS, altimeter, etc. Contributed value is assumed accurate within several meters regardless of method used",metadata,pre-alpha,
ISCN3,profile,elevation (m),elevation,value,--,,pre-alpha,
ISCN3,profile,ecoregion,ecoregion,description,Special information about the site that makes it anomalous from the USDA Omernik ecoregion in which it is located,metadata,pre-alpha,
ISCN3,profile,ecoregion,ecoregion,value,--,,pre-alpha,
ISCN3,profile,landuse (landsat),landuse,description,Land use classification,metadata,pre-alpha,
ISCN3,profile,landuse (landsat),landuse,value,--,,pre-alpha,
ISCN3,profile,surface_veg,surface_vegetation,description,Dominant vegetation at the exact location of the profile,metadata,pre-alpha,
ISCN3,profile,surface_veg,surface_vegetation,value,--,,pre-alpha,
ISCN3,profile,landscape (landscape),landscape,description,"The type of Landscape on which the site occurs, according to USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p. 3-11) This information can be arranged in hierarchy above Landform and 2D Position to describe the geographic setting of the site.",metadata,pre-alpha,
ISCN3,profile,landscape (landscape),landscape,value,--,,pre-alpha,
ISCN3,profile,landform (landform),landform,description,The type of Landform on which the site is located. See USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 3-12 through 3-16). This information can be nested between Landscape and 2D Position to describe the setting of the site.,metadata,pre-alpha,
ISCN3,profile,landform (landform),landform,value,--,,pre-alpha,
ISCN3,profile,2d_position (2d_position),2d_position,description,2-dimensional position of the site on the Landform on which it is located. See USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; pp. 3-38 through 3-41). This information supplements Landscape and Landform to describe the geographic setting of the site.,metadata,pre-alpha,
ISCN3,profile,2d_position (2d_position),2d_position,value,--,,pre-alpha,
ISCN3,profile,landform_note,landform_note,description,Additional notes about the Landform (e.g. microtopography) in this site,metadata,pre-alpha,
ISCN3,profile,landform_note,landform_note,value,--,,pre-alpha,
ISCN3,profile,aspect_deg (degree),aspect,description,"The numerical observation of aspect at the site. The compass bearing (corrected for declination) that a slope faces, looking downslope",metadata,pre-alpha,
ISCN3,profile,aspect_deg (degree),aspect,value,--,,pre-alpha,
ISCN3,profile,slope (percent),slope,description,The angle of the ground surface through the site and in the direction that overland water would flow. Make observations facing downslope to avoid errors associated with some brands of clinometers,metadata,pre-alpha,
ISCN3,profile,slope (percent),slope,value,--,,pre-alpha,
ISCN3,profile,drainagecl (drainage),drainage,description,The drainage class of the soil sampled at the site according to the specific terminology employed in the USDA-NRCS-NSSC Field Book for Describing and Sampling Soils (Staff 2002; p. 1-10),metadata,pre-alpha,
ISCN3,profile,drainagecl (drainage),drainage,value,--,,pre-alpha,
ISCN3,profile,map (mm),precipitation,description,"The arithmetic average of the total annual (liquid) precipitation , preferably taken over the standard normal period, 1961-1990",metadata,pre-alpha,
ISCN3,profile,map (mm),precipitation,unit,mm,metadata,pre-alpha,
ISCN3,profile,map (mm),precipitation,value,--,,pre-alpha,
ISCN3,profile,mat (°C),temperature,description,"The arithmetic average of the daily maximum and minimum temperatures for a calendar year, preferably taken over the standard normal period, 1961",metadata,pre-alpha,
ISCN3,profile,mat (°C),temperature,value,--,,pre-alpha,
ISCN3,profile,mat (°C),temperature,unit,Celsius,,,
ISCN3,profile,runoff (runoff),runoff,description,"Runoff potential class for the soil, assigned based on local/state/MLRA criteria",metadata,pre-alpha,
ISCN3,profile,runoff (runoff),runoff,value,--,,pre-alpha,
ISCN3,profile,site_perm (site_perm),site_perm,description,"A class rating of the overall ability of air and water to move through the soil profile, limits as defined in the National Soil Survey Handbook",metadata,pre-alpha,
ISCN3,profile,site_perm (site_perm),site_perm,value,--,,pre-alpha,
ISCN3,profile,site_note,site_note,description,"Various notes on and descriptions of the site other than C flux, climate, photo or vegetation. May include local names for physiographic features, which may or may not appear on USGS Topographic Quadrangles",metadata,pre-alpha,
ISCN3,profile,site_note,site_note,value,--,,pre-alpha,
ISCN3,profile,thaw_depth_profile (cm),thaw_depth,description,The depth to the frozen surface of the profile,metadata,pre-alpha,
ISCN4,profile,thaw_depth_profile (cm),thaw_depth,unit,cm,metadata,pre-alpha,
ISCN3,profile,thaw_depth_profile (cm),thaw_depth,value,--,,pre-alpha,
ISCN3,profile,locator_alias,locator_alias,description,Contributor data set identifier,metadata,pre-alpha,
ISCN3,profile,locator_alias,locator_alias,value,--,,pre-alpha,
ISCN3,citation,ISCN 1-1 (2015-12-10),--,description,dummy column; no information beyond header which we move to annotation,data,pre-alpha,
ISCN3,citation,ISCN 1-1 (2015-12-10),--,empty,--,,pre-alpha,
ISCN3,citation,dataset_name,dataset_name,description,"Dataset Name, identifier",metadata,pre-alpha,
ISCN3,citation,dataset_name,dataset_name,identifier,--,metadata,pre-alpha,
ISCN3,citation,dataset_type (dataset_type),dataset_type,description,Type of data contribution,metadata,pre-alpha,
ISCN3,citation,dataset_type (dataset_type),dataset_type,contol_vocabulary,dataset_type,metadata,pre-alpha,
ISCN3,citation,dataset_type (dataset_type),dataset_type,value,--,metadata,pre-alpha,
ISCN3,citation,curator_name,curator_name,description,Curator Name,metadata,pre-alpha,
ISCN3,citation,curator_name,curator_name,value,--,metadata,pre-alpha,
ISCN3,citation,curator_organization,curator_organization,description,Curator Organization,metadata,pre-alpha,
ISCN3,citation,curator_organization,curator_organization,value,--,metadata,pre-alpha,
ISCN3,citation,curator_email,curator_email,description,Curator Email,metadata,pre-alpha,
ISCN3,citation,curator_email,curator_email,value,--,metadata,pre-alpha,
ISCN3,citation,reference,reference,description,Reference,metadata,pre-alpha,
ISCN3,citation,reference,reference,value,--,metadata,pre-alpha,
ISCN3,citation,citation,citation,description,Citation Text,metadata,pre-alpha,
ISCN3,citation,citation,citation,value,--,metadata,pre-alpha,
ISCN3,citation,citation_usage,citation_usage,description,Citation Usage,metadata,pre-alpha,
ISCN3,citation,citation_usage,citation_usage,value,--,metadata,pre-alpha,
ISCN3,citation,acknowledgement,acknowledgement,description,Acknowledgement Text,metadata,pre-alpha,
ISCN3,citation,acknowledgement,acknowledgement,value,--,metadata,pre-alpha,
ISCN3,citation,acknowledgement_usage,acknowledgement_usage,description,Acknowledgement Usage,metadata,pre-alpha,
ISCN3,citation,acknowledgement_usage,acknowledgement_usage,value,--,metadata,pre-alpha,
ISCN3,citation,modification_date (YYYY-MM-DD),modification_date,description,"Template Modification Date; orginally in Excel, date may be days since 1899-12-31",metadata,pre-alpha,
ISCN3,citation,modification_date (YYYY-MM-DD),modification_date,value,--,metadata,pre-alpha,
ISCN3,dataset,ISCN 1-1 (2015-12-10),--,description,Version of the processed dataset,metadata,pre-alpha,
ISCN3,dataset,ISCN 1-1 (2015-12-10),--,metadata,--,metadata,pre-alpha,
ISCN3,dataset,total_lcount,total_layer_count,description,number of layers in the data contribution,metadata,pre-alpha,
ISCN3,dataset,total_lcount,total_layer_count,value,--,metadata,pre-alpha,
ISCN3,dataset,soc_lcount,soc_layer_count,description,number of layers with soil organic carbon stocks in the data contribution,metadata,pre-alpha,
ISCN3,dataset,soc_lcount,soc_layer_count,value,--,metadata,pre-alpha,
ISCN3,dataset,dataset_name,dataset_name,description,Dataset Name,metadata,pre-alpha,
ISCN3,dataset,dataset_name,dataset_name,identifier,--,metadata,pre-alpha,
ISCN3,dataset,dataset_type (dataset_type),dataset_type,description,Type of data contribution,metadata,pre-alpha,
ISCN3,dataset,dataset_type (dataset_type),dataset_type,contol_vocabulary,dataset_type,metadata,pre-alpha,
ISCN3,dataset,dataset_type (dataset_type),dataset_type,value,--,metadata,pre-alpha,
ISCN3,dataset,curator_name,curator_name,description,Name of person who curates or complided the data contribution,metadata,pre-alpha,
ISCN3,dataset,curator_name,curator_name,value,--,metadata,pre-alpha,
ISCN3,dataset,curator_organization,curator_organization,description,Curator organization,metadata,pre-alpha,
ISCN3,dataset,curator_organization,curator_organization,value,--,metadata,pre-alpha,
ISCN3,dataset,curator_email,curator_email,description,Curator email,metadata,pre-alpha,
ISCN3,dataset,curator_email,curator_email,value,--,metadata,pre-alpha,
ISCN3,dataset,modification_date (YYYY-MM-DD),modification_date,description,"Template Modification Date; orginally in Excel, date may be days since 1899-12-31",metadata,pre-alpha,
ISCN3,dataset,modification_date (YYYY-MM-DD),modification_date,unit,exported Excel date object; days since 1899-12-31,metadata,pre-alpha,
ISCN3,dataset,modification_date (YYYY-MM-DD),modification_date,value,--,metadata,pre-alpha,
ISCN3,dataset,contact_name,contact_name,description,Primary point of contact for the data contribution,metadata,pre-alpha,
ISCN3,dataset,contact_name,contact_name,value,--,metadata,pre-alpha,
ISCN3,dataset,contact_email,contact_email,description,Additional Contact Email,metadata,pre-alpha,
ISCN3,dataset,contact_email,contact_email,value,--,metadata,pre-alpha,
ISCN3,dataset,dataset_description,dataset_description,description,Dataset description,metadata,pre-alpha,
ISCN3,dataset,dataset_description,dataset_description,value,--,metadata,pre-alpha,
ISCN3,dataset,total_scount,total_site_count,description,number of sites in the data contirbution,metadata,pre-alpha,
ISCN3,dataset,total_scount,total_site_count,value,--,metadata,pre-alpha,
ISCN3,dataset,total_pcount,total_profile_count,description,number of profiles in the data contribution,metadata,pre-alpha,
ISCN3,dataset,total_pcount,total_profile_count,value,--,metadata,pre-alpha,
ISCN3,dataset,soc_scount,soc_site_count,description,number of sites with soil organic carbon stocks in the data contribution,metadata,pre-alpha,
ISCN3,dataset,soc_scount,soc_site_count,value,--,metadata,pre-alpha,
ISCN3,dataset,soc_pcount,soc_profile_count,description,number of profiles with soil organic carbon stocks in the data contribution,metadata,pre-alpha,
ISCN3,dataset,soc_pcount,soc_profile_count,value,--,metadata,pre-alpha,
ISCN3,dataset,soc_scount_ISCN,soc_site_count_ISCN,description,"calculated by the ISCN data base, number of sites with soil organic carbon stocks in the data contribution",metadata,pre-alpha,
ISCN3,dataset,soc_scount_ISCN,soc_site_count_ISCN,value,--,metadata,pre-alpha,
ISCN3,dataset,soc_pcount_ISCN,soc_profile_count_ISCN,description,"calculated by the ISCN data base, number of profiles with soil organic carbon stocks in the data contribution",metadata,pre-alpha,
ISCN3,dataset,soc_pcount_ISCN,soc_profile_count_ISCN,value,--,metadata,pre-alpha,
ISCN3,dataset,soc_lcount_ISCN,soc_layer_count_ISCN,description,"calculated by the ISCN data base, number of layers with soil organic carbon stocks in the data contribution",metadata,pre-alpha,
ISCN3,dataset,soc_lcount_ISCN,soc_layer_count_ISCN,value,--,metadata,pre-alpha,
ISCN3,NA,NA,,doi,10.6073/pasta/cc751923c5576b95a6d6a227d5afe8ba,metadata,pre-alpha,
ISCN3,NA,NA,,version,ISCN 1-1 (2015-12-10),data,pre-alpha,
Kane2004,layer,site,,description,Site identification,metadata,,
Kane2004,layer,site,,identifier,,,,
Kane2004,layer,productivity_level,,description,productivity level,metadata,,
Kane2004,layer,productivity_level,,value,,,,
Kane2004,layer,replicate,,description,sample replication,metadata,,
Kane2004,layer,replicate,,value,,,,
Kane2004,layer,pit,,description,pit identification number,metadata,,
Kane2004,layer,pit,,value,,,,
Kane2004,layer,Oi_depth (cm),,value,Depth of organic fibric horizon,metadata,,
Kane2004,layer,Oi_depth (cm),,value,,,,
Kane2004,layer,Oe+Oa_depth (cm),,value,Depth of organic humic and organic sapric horizon,metadata,,
Kane2004,layer,Oe+Oa_depth (cm),,value,,,,
Kane2004,layer,A_depth (cm),,value,Depth of mineral soil horizon,metadata,,
Kane2004,layer,A_depth (cm),,value,,,,
Kane2004,layer,B1_depth (cm),,value,Depth of subsoil horizon,metadata,,
Kane2004,layer,B1_depth (cm),,value,,,,
Kane2004,layer,Oi_%C,,value,Percent carbon in organic fibric soil,metadata,,
Kane2004,layer,Oi_%C,,value,,,,
Kane2004,layer,Oe+Oa_%C,,value,Percent carbon in organic humic and organic sapric soil,metadata,,
Kane2004,layer,Oe+Oa_%C,,value,,,,
Kane2004,layer,A_%C,,value,Percent carbon in mineral soil,metadata,,
Kane2004,layer,A_%C,,value,,,,
Kane2004,layer,B1_%C,,value,Percent carbon in subsoil,metadata,,
Kane2004,layer,B1_%C,,value,,,,
Kane2004,layer,Oi_BD (m/V),,value,Bulk Density of organic fibric soil,metadata,,
Kane2004,layer,Oi_BD (m/V),,value,,,,
Kane2004,layer,Oe+Oa_BD (m/V),,value,Bulk Density of organic humic and organic sapric soil,metadata,,
Kane2004,layer,Oe+Oa_BD (m/V),,value,,,,
Kane2004,layer,A_BD (m/V),,value,Bulk Denisty of mineral soil,metadata,,
Kane2004,layer,A_BD (m/V),,value,,,,
Kane2004,layer,B1_BD (m/V),,value,Bulk density of subsoil,metadata,,
Kane2004,layer,B1_BD (m/V),,value,,,,
Kane2004,NA,NA,,state,Alaska,metadata,,
Kane2004,NA,NA,,country,United States,metadata,,
Kane2004,NA,NA,,state,Alaska,metadata,,
Kane2004,NA,NA,,country,United States,metadata,,
Kane2004,NA,NA,,,,,,
Kane2004,NA,NA,,,,,,
MyersSmith2005,bog_soil_data,Sample ID,,description,Sample identification used by the Harden Lab at the USGS in Menlo Park,metadata,,
MyersSmith2005,bog_soil_data,Sample ID,,identifier,,,,
MyersSmith2005,bog_soil_data,Distance (m),,description,Distance along the transect (0-30m),metadata,,
MyersSmith2005,bog_soil_data,Distance (m),,value,,,,
MyersSmith2005,bog_soil_data,Depth (cm),,description,Depth of sample in the soil profile (in cm),metadata,,
MyersSmith2005,bog_soil_data,Depth (cm),,value,,,,
MyersSmith2005,bog_soil_data,Field Horizon Code (Canadian Soil Classification),,description,Field horizon code developed by the Canadian Soil Classification and as used by the Harden Lab at the USGS in Menlo Park,metadata,,
MyersSmith2005,bog_soil_data,Field Horizon Code (Canadian Soil Classification),,value,,,,
MyersSmith2005,bog_soil_data,Field Description,,description,"Description of the soil characteristics: decomposition level, colour and texture",metadata,,
MyersSmith2005,bog_soil_data,Field Description,,value,,,,
MyersSmith2005,bog_soil_data,Date Sampled,,description,Date the sample was collected in the field (yyyy/mm/dd),metadata,,
MyersSmith2005,bog_soil_data,Date Sampled,,value,,,,
MyersSmith2005,bog_soil_data,Thickness (cm),,description,Thickness of the sample (in cm),metadata,,
MyersSmith2005,bog_soil_data,Thickness (cm),,value,,,,
MyersSmith2005,bog_soil_data,Volume Method,,description,Method used to calculate the volume,metadata,,
MyersSmith2005,bog_soil_data,Volume Method,,value,,,,
MyersSmith2005,bog_soil_data,Sample Volume (cm3),,value,Volume of the sample (in cm3),metadata,,
MyersSmith2005,bog_soil_data,Sample Volume (cm3),,value,,,,
MyersSmith2005,bog_soil_data,Field Weight (g),,value,The mass of the sample before being dried (in g),metadata,,
MyersSmith2005,bog_soil_data,Field Weight (g),,value,,,,
MyersSmith2005,bog_soil_data,Ground Sample Mass (g),,value,The mass of the sample after being air dried and ground (in g),metadata,,
MyersSmith2005,bog_soil_data,Ground Sample Mass (g),,value,,,,
MyersSmith2005,bog_soil_data,Volumetric Field Moisture (volume %),,value,Percent volume occupied by the water in the sample before being air dried,metadata,,
MyersSmith2005,bog_soil_data,Volumetric Field Moisture (volume %),,value,,,,
MyersSmith2005,bog_soil_data,Bulk Density (g/cm3),,value,The bulk density of the sample (in g per cm3),metadata,,
MyersSmith2005,bog_soil_data,Bulk Density (g/cm3),,value,,,,
MyersSmith2005,bog_soil_data,% Nitrogen,,value,Percent nitrogen in the plant sample,metadata,,
MyersSmith2005,bog_soil_data,% Nitrogen,,value,,,,
MyersSmith2005,bog_soil_data,% Carbon,,value,Percent carbon in the plant sample,metadata,,
MyersSmith2005,bog_soil_data,% Carbon,,value,,,,
MyersSmith2005,bog_soil_data,Carbon Content (gC/cm3),,value,The mass of carbon per volume in the sample (in g of carbon per cm3),metadata,,
MyersSmith2005,bog_soil_data,Carbon Content (gC/cm3),,value,,,,
MyersSmith2005,bog_soil_data,Carbon:Nitrogen,,value,The ratio of the percent carbon to the percent nitrogen,metadata,,
MyersSmith2005,bog_soil_data,Carbon:Nitrogen,,value,,,,
MyersSmith2005,bog_soil_data,pH,,value,pH of sample determined using litmus paper,metadata,,
MyersSmith2005,bog_soil_data,pH,,value,,,,
MyersSmith2005,bog_soil_data,Charcoal (bits/cm3),,value,The macroscopic specs of charcoal observed in the sample (in bits per cm3),metadata,,
MyersSmith2005,bog_soil_data,Charcoal (bits/cm3),,value,,,,
MyersSmith2006,bog_soil_data,Distance (m),,unit,m,metadata,draft,
MyersSmith2006,bog_soil_data,Depth (cm),,unit,cm,metadata,draft,
MyersSmith2006,bog_soil_data,Thickness (cm),,unit,cm,metadata,draft,
MyersSmith2006,bog_soil_data,Sample Volume (cm3),,unit,cm^3,metadata,draft,
MyersSmith2006,bog_soil_data,Field Weight (g),,unit,g,metadata,draft,
